ID,Name,Rank,State,State_code,County,County_code
1,Great Smoky Mountains National Park,1,North Carolina,37,Swain,173
2,Great Smoky Mountains National Park,1,North Carolina,37,Haywood,87
3,Great Smoky Mountains National Park,1,Tennessee,47,Sevier,155
4,Great Smoky Mountains National Park,1,Tennessee,47,Blount,9
5,Great Smoky Mountains National Park,1,Tennessee,47,Cocke,29
6,Saguaro National Park,2,Arizona,4,Pima,19
7,Petrified Forest National Park,3,Arizona,4,Navajo,17
8,Petrified Forest National Park,3,Arizona,4,Apache,1
9,Crater Lake National Park,4,Oregon,41,Douglas,19
10,Crater Lake National Park,4,Oregon,41,Klamath,35
11,Redwood National Park,5,California,6,Del Norte,15
12,Redwood National Park,5,California,6,Humboldt,23
13,Katmai National Park,6,Alaska,2,Lake and Peninsula,164
14,Katmai National Park,6,Alaska,2,Kodiak Island,150
15,Katmai National Park,6,Alaska,2,Kenai Peninsula,122
16,Katmai National Park,6,Alaska,2,Bristol Bay borough,60
17,Mesa Verde National Park,7,Corolado,8,Montezuma,83
18,Everglades National Park,8,Florida,12,Miami Dade,86
19,Everglades National Park,8,Florida,12,Monroe,87
20,Everglades National Park,8,Florida,12,Collier,21
21,Grand Canyon National Park,9,Arizona,4,Coconino,5
22,Grand Canyon National Park,9,Arizona,4,Mohave,15
23,Channel Islands National Park,10,California,6,Santa Barbara,83
24,Channel Islands National Park,10,California,6,Ventura,111
